0
 avinash arun
 ethan coen
 inc.
 jeremy robbins
 jr
 jr.
 nicholas verso
 nikkhil advani
 nitya mehra
 roger hawkins
 shawn thompson
 tannishtha chatterjee
1
20th century fox
20th_century_fox
9 story entertainment
a gokul krishna
a. bhimsingh
a. c. tirulokchandar
a. edward sutherland
a. k. velan
a. l. vijay
a. n. pitchumani
a. p. nagarajan
a. r. murugadoss
a. v. meiyappan
a. v. meiyappan a. t. krishnaswamy
a. venkatesh
a.j. martinson
a.j. murugan
a.l. vijay
a.r. murugadoss
a.v. meiyappan
aashiq abu
abrid shine
ak. reed films  (amire k reed)
ak. reed films (amire k reed)
ak.reed films (amire k reed)
angel amuzo maledo
ar murugadoss
arabinda mukherjee
arindam bhattacharya
ashok
austin nwaolie
aabid bhushan
aakash motiani
aaron cadieux
aaron courseault
aaron j. christopher
aaron j. shelton
aaron mcjames
aaron michael
aaron mirtes
aaron nee
aaron norris
aaron seltzer
aaron setzer
aaron stephenson
aaron stevenson
aaron woodley
aashiq abu
abbas raziji
abel berry
abel dare
abhijeet warang
abhilash reddy
abhinay deo
abhiraj k minawala
abhiram m
abhishek kapoor
abhishek pathak
abhishek varman
abner biberman
abu nizam
adam berardi
adam buck
adam collier
adam del deo
adam dufour
adam egypt mortimer
adam gierasch
adam goldberg
adam green
adam jay epstein
adam larson broder
adam marcus
adam marino
adam massey
adam montierth
adam nee
adam ninyo
adam oldroyd
adam r. steigert
adam randall
adam ripp
adam robitel
adam rodgers
adam rothlein
adam schindler
adam schomer
adam sedlák
adamo p. cultraro
adesh prasad
adil el arbi
aditya ajay sarpotdar
aditya chopra
aditya sarpotdar
aditya vikram sengupta
adolf el assai
adrian cale
adrian grunberg
adrian grünberg
adrian konstant
adrian langley
adrian leon
adrian munsey
adrian panek
adrian picardi
adrian vitoria
adrian weiss
adrian wills
adrian younge
adán medrano
agnieszka holland
agustin adba
agustin castañeda
ai weiwei
aidan belizaire
aigars grauba
aisling walsh
ajay bahl
ajay bhupathi
ajay devgn
ajay koundinya
ajit p. bhairavkar
ajoy varma
akarsh khurana
akhtem seitablaev
akim macauley
akin alabi
akin tijani balogun
akira kurosawa
akiva schaffer
akshay roy
al carter
al herman
al profit
al reinert
al valletta
alain gsponer
alan ball
alan byron
alan chan
alan cohn
alan gibson
alan j. pakula
alan james
alan mak
alan metter
alan metzger
alan parker
alan rudolph
alan scales
alan yuen
alanis obomsawin
alastair orr
albert band
albert c. gannaway
albert herman
albert maysles
albert pyun
albert s. rogell
alberto gatto
alberto lattuada
alden peters
alec macleod
alejandro g. iñárritu
alejo mo-sun
aleksa gajic
aleksander zobec
aleksandr boguslavskiy
aleksandr sery
aleksandra szczepanowska
aleksey shaparev
aleksey sidorov
aleksey tsitsilin
alessandro derviso
alessandro palazzi
alex bourne
alex de rakoff
alex dunlop
alex ferrari
